Estuary,Sample_Date_m/d/y,Exclosure_date,Exclosure_age_yr,Site_no,Unique_plot_ID,EC_mScm-1,EC_depth_cm
ERE,10/6/2021,2020,1,20_01_A,17,4.59,10
ERE,10/6/2021,2020,1,20_01_A,17,3.07,20
ERE,10/6/2021,2020,1,20_01_A,17,4.35,40
ERE,10/6/2021,2020,1,20_01_B,18,4.02,10
ERE,10/6/2021,2020,1,20_01_B,18,3.85,20
ERE,10/6/2021,2020,1,20_01_B,18,2.12,30
ERE,10/6/2021,2020,1,20_02_A,19,2.61,10
ERE,10/6/2021,2020,1,20_02_A,19,3.78,20
ERE,10/6/2021,2020,1,20_02_A,19,5.92,40
ERE,10/6/2021,2020,1,20_02_B,20,0.39,10
ERE,10/6/2021,2020,1,20_02_B,20,0.50,20
ERE,10/6/2021,2020,1,20_02_B,20,0.37,30
ERE,10/6/2021,2020,1,20_03_A,21,4.76,10
ERE,10/6/2021,2020,1,20_03_A,21,5.33,20
ERE,10/6/2021,2020,1,20_03_A,21,2.34,35
ERE,10/6/2021,2020,1,20_03_B,22,8.12,10
ERE,10/6/2021,2020,1,20_03_B,22,11.32,20
ERE,10/6/2021,2020,1,20_03_B,22,16.91,40
ERE,10/6/2021,2020,1,20_04_A,23,8.01,10
ERE,10/6/2021,2020,1,20_04_A,23,7.02,20
ERE,10/6/2021,2020,1,20_04_A,23,9.64,40
ERE,10/6/2021,2020,1,20_04_B,24,5.85,10
ERE,10/6/2021,2020,1,20_04_B,24,3.88,20
ERE,10/6/2021,2020,1,20_04_B,24,3.74,25
ERE,10/6/2021,Grubbed,0,GRB_01_A,9,1.55,10
ERE,10/6/2021,Grubbed,0,GRB_01_A,9,1.55,20
ERE,10/6/2021,Grubbed,0,GRB_01_A,9,1.78,30
ERE,10/6/2021,Grubbed,0,GRB_01_B,10,1.21,10
ERE,10/6/2021,Grubbed,0,GRB_01_B,10,0.47,20
ERE,10/6/2021,Grubbed,0,GRB_01_B,10,1.21,40
ERE,10/6/2021,Grubbed,0,GRB_02_A,11,15.05,1
ERE,10/6/2021,Grubbed,0,GRB_02_A,11,16.73,20
ERE,10/6/2021,Grubbed,0,GRB_02_A,11,8.49,40
ERE,10/6/2021,Grubbed,0,GRB_02_B,12,6.11,10
ERE,10/6/2021,Grubbed,0,GRB_02_B,12,10.16,20
ERE,10/6/2021,Grubbed,0,GRB_02_B,12,8.40,40
ERE,10/6/2021,Grubbed,0,GRB_03_A,13,9.35,10
ERE,10/6/2021,Grubbed,0,GRB_03_A,13,19.29,20
ERE,10/6/2021,Grubbed,0,GRB_03_A,13,8.80,40
ERE,10/6/2021,Grubbed,0,GRB_03_B,14,12.95,10
ERE,10/6/2021,Grubbed,0,GRB_03_B,14,17.50,20
ERE,10/6/2021,Grubbed,0,GRB_03_B,14,9.89,40
ERE,10/6/2021,Grubbed,0,GRB_04_A,15,16.83,10
ERE,10/6/2021,Grubbed,0,GRB_04_A,15,14.59,20
ERE,10/6/2021,Grubbed,0,GRB_04_A,15,9.77,40
ERE,10/6/2021,Grubbed,0,GRB_04_B,16,11.73,10
ERE,10/6/2021,Grubbed,0,GRB_04_B,16,14.80,20
ERE,10/6/2021,Grubbed,0,GRB_04_B,16,14.17,40
ERE,10/6/2021,Reference,25,REF_01_A,1,8.62,10
ERE,10/6/2021,Reference,25,REF_01_A,1,11.83,20
ERE,10/6/2021,Reference,25,REF_01_A,1,10.15,40
ERE,10/6/2021,Reference,25,REF_01_B,2,7.65,10
ERE,10/6/2021,Reference,25,REF_01_B,2,9.65,20
ERE,10/6/2021,Reference,25,REF_01_B,2,10.76,40
ERE,10/6/2021,Reference,25,REF_02_A,3,0.74,10
ERE,10/6/2021,Reference,25,REF_02_A,3,1.00,20
ERE,10/6/2021,Reference,25,REF_02_A,3,0.71,40
ERE,10/6/2021,Reference,25,REF_02_B,4,0.46,10
ERE,10/6/2021,Reference,25,REF_02_B,4,0.43,20
ERE,10/6/2021,Reference,25,REF_02_B,4,0.39,35
ERE,10/6/2021,Reference,25,REF_03_A,5,0.52,10
ERE,10/6/2021,Reference,25,REF_03_B,6,2.30,10
ERE,10/6/2021,Reference,25,REF_03_B,6,1.45,20
ERE,10/6/2021,Reference,25,REF_03_B,6,1.72,40
ERE,10/6/2021,Reference,25,REF_04_A,7,0.53,10
ERE,10/6/2021,Reference,25,REF_04_A,7,0.42,20
ERE,10/6/2021,Reference,25,REF_04_B,8,0.39,10
ERE,10/6/2021,Reference,25,REF_04_B,8,0.77,20
ERE,10/6/2021,Reference,25,REF_04_B,8,0.68,30
LQRE,10/6/2021,2010,10,10_05_B,58,3.54,10
LQRE,10/6/2021,2010,10,10_05_B,58,3.53,20
LQRE,10/6/2021,2010,10,10_05_B,58,12.29,40
LQRE,10/6/2021,2010,10,10_05_A,57,3.16,10
LQRE,10/6/2021,2010,10,10_05_A,57,5.17,20
LQRE,10/6/2021,2010,10,10_05_A,57,11.36,40
LQRE,10/6/2021,2010,10,10_10_A,61,3.44,10
LQRE,10/6/2021,2010,10,10_10_A,61,4.71,20
LQRE,10/6/2021,2010,10,10_10_A,61,11.25,40
LQRE,10/6/2021,2010,10,10_10_B,62,3.49,10
LQRE,10/6/2021,2010,10,10_10_B,62,7.99,20
LQRE,10/6/2021,2010,10,10_10_B,62,11.81,40
LQRE,10/6/2021,2010,10,10_11_A,63,3.81,10
LQRE,10/6/2021,2010,10,10_11_A,63,3.83,20
LQRE,10/6/2021,2010,10,10_11_A,63,9.20,40
LQRE,10/6/2021,2010,10,10_11_B,64,3.52,10
LQRE,10/6/2021,2010,10,10_11_B,64,5.30,20
LQRE,10/6/2021,2010,10,10_11_B,64,7.37,40
LQRE,10/6/2021,2016,5,16_02_A,67,2.07,10
LQRE,10/6/2021,2016,5,16_02_A,67,5.67,20
LQRE,10/6/2021,2016,5,16_02_A,67,6.52,40
LQRE,10/6/2021,2016,5,16_02_B,68,4.20,10
LQRE,10/6/2021,2016,5,16_02_B,68,2.60,20
LQRE,10/6/2021,2016,5,16_02_B,68,11.26,40
LQRE,10/6/2021,2016,5,16_03_A,69,5.92,10
LQRE,10/6/2021,2016,5,16_03_A,69,7.52,20
LQRE,10/6/2021,2016,5,16_03_A,69,10.76,40
LQRE,10/6/2021,2016,5,16_03_B,70,6.26,10
LQRE,10/6/2021,2016,5,16_03_B,70,7.12,20
LQRE,10/6/2021,2016,5,16_03_B,70,11.17,40
LQRE,10/6/2021,2016,5,17_01_A,71,2.54,10
LQRE,10/6/2021,2016,5,17_01_A,71,3.66,20
LQRE,10/6/2021,2016,5,17_01_A,71,10.50,40
LQRE,10/6/2021,2016,5,17_01_B,72,3.11,10
LQRE,10/6/2021,2016,5,17_01_B,72,6.75,20
LQRE,10/6/2021,2016,5,17_01_B,72,9.38,40
LQRE,10/6/2021,2020,1,20_02_A,77,10.81,10
LQRE,10/6/2021,2020,1,20_02_A,77,10.45,20
LQRE,10/6/2021,2020,1,20_02_A,77,8.65,40
LQRE,10/6/2021,2020,1,20_02_B,78,3.98,10
LQRE,10/6/2021,2020,1,20_02_B,78,9.77,20
LQRE,10/6/2021,2020,1,20_02_B,78,10.92,40
LQRE,10/6/2021,2020,1,20_03_A,75,4.98,10
LQRE,10/6/2021,2020,1,20_03_A,75,5.24,20
LQRE,10/6/2021,2020,1,20_03_A,75,7.28,25
LQRE,10/6/2021,2020,1,20_03_B,76,6.61,10
LQRE,10/6/2021,2020,1,20_03_B,76,8.42,20
LQRE,10/6/2021,2020,1,20_03_B,76,9.73,40
LQRE,10/6/2021,2020,1,20_04_A,73,4.32,10
LQRE,10/6/2021,2020,1,20_04_A,73,7.47,20
LQRE,10/6/2021,2020,1,20_04_A,73,10.98,40
LQRE,10/6/2021,2020,1,20_04_B,74,9.90,10
LQRE,10/6/2021,2020,1,20_04_B,74,9.79,20
LQRE,10/6/2021,2020,1,20_04_B,74,11.17,40
LQRE,10/6/2021,Grubbed,0,GRB_04_A,81,4.26,10
LQRE,10/6/2021,Grubbed,0,GRB_04_A,81,6.65,20
LQRE,10/6/2021,Grubbed,0,GRB_04_A,81,10.16,25
LQRE,10/6/2021,Grubbed,0,GRB_04_B,82,9.25,10
LQRE,10/6/2021,Grubbed,0,GRB_04_B,82,12.75,20
LQRE,10/6/2021,Grubbed,0,GRB_04_B,82,9.86,40
LQRE,10/6/2021,Grubbed,0,GRB_05_A,83,3.69,10
LQRE,10/6/2021,Grubbed,0,GRB_05_A,83,3.82,20
LQRE,10/6/2021,Grubbed,0,GRB_05_B,84,3.96,10
LQRE,10/6/2021,Grubbed,0,GRB_05_B,84,5.88,20
LQRE,10/6/2021,Grubbed,0,GRB_05_B,84,5.67,40
LQRE,10/6/2021,Grubbed,0,GRB_06_A,85,4.63,10
LQRE,10/6/2021,Grubbed,0,GRB_06_A,85,2.79,20
LQRE,10/6/2021,Grubbed,0,GRB_06_B,86,4.28,10
LQRE,10/6/2021,Grubbed,0,GRB_06_B,86,4.96,20
LQRE,10/6/2021,Grubbed,0,GRB_06_B,86,5.83,25
LQRE,10/6/2021,Grubbed,0,GRB_11_A,87,7.59,10
LQRE,10/6/2021,Grubbed,0,GRB_11_A,87,14.65,20
LQRE,10/6/2021,Grubbed,0,GRB_11_A,87,11.25,40
LQRE,10/6/2021,Grubbed,0,GRB_11_B,88,4.37,10
LQRE,10/6/2021,Grubbed,0,GRB_11_B,88,11.81,20
LQRE,10/6/2021,Grubbed,0,GRB_11_B,88,8.64,40
LQRE,10/6/2021,Reference,25,REF_01_A,49,2.97,10
LQRE,10/6/2021,Reference,25,REF_01_A,49,3.85,20
LQRE,10/6/2021,Reference,25,REF_01_A,49,8.01,40
LQRE,10/6/2021,Reference,25,REF_01_B,50,4.37,10
LQRE,10/6/2021,Reference,25,REF_01_B,50,3.51,20
LQRE,10/6/2021,Reference,25,REF_01_B,50,11.14,40
LQRE,10/6/2021,Reference,25,REF_02_A,51,4.81,10
LQRE,10/6/2021,Reference,25,REF_02_A,51,4.01,20
LQRE,10/6/2021,Reference,25,REF_02_A,51,6.12,40
LQRE,10/6/2021,Reference,25,REF_02_B,52,2.80,10
LQRE,10/6/2021,Reference,25,REF_02_B,52,5.75,20
LQRE,10/6/2021,Reference,25,REF_02_B,52,10.23,40
LQRE,10/6/2021,Reference,25,REF_03_A,53,3.98,10
LQRE,10/6/2021,Reference,25,REF_03_A,53,7.81,20
LQRE,10/6/2021,Reference,25,REF_03_A,53,9.63,40
LQRE,10/6/2021,Reference,25,REF_03_B,54,3.62,10
LQRE,10/6/2021,Reference,25,REF_03_B,54,3.79,20
LQRE,10/6/2021,Reference,25,REF_03_B,54,8.71,40
NRE,10/6/2021,2020,1,20_04_A,35,8.68,10
NRE,10/6/2021,2020,1,20_04_A,35,11.05,20
NRE,10/6/2021,2020,1,20_04_A,35,8.35,40
NRE,10/6/2021,2020,1,20_04_B,36,4.67,10
NRE,10/6/2021,2020,1,20_05_A,37,8.63,10
NRE,10/6/2021,2020,1,20_05_A,37,12.33,20
NRE,10/6/2021,2020,1,20_05_A,37,6.31,40
NRE,10/6/2021,2020,1,20_05_B,38,8.01,10
NRE,10/6/2021,2020,1,20_05_B,38,10.80,20
NRE,10/6/2021,2020,1,20_05_B,38,9.50,40
NRE,10/6/2021,Grubbed,0,GRB_01_A,47,9.36,10
NRE,10/6/2021,Grubbed,0,GRB_01_A,47,11.35,20
NRE,10/6/2021,Grubbed,0,GRB_01_A,47,12.55,40
NRE,10/6/2021,Grubbed,0,GRB_01_B,48,12.92,10
NRE,10/6/2021,Grubbed,0,GRB_01_B,48,14.17,20
NRE,10/6/2021,Grubbed,0,GRB_01_B,48,11.67,40
NRE,10/6/2021,Grubbed,0,GRB_02_A,45,9.16,10
NRE,10/6/2021,Grubbed,0,GRB_02_A,45,12.05,20
NRE,10/6/2021,Grubbed,0,GRB_02_A,45,6.30,30
NRE,10/6/2021,Grubbed,0,GRB_02_B,46,7.69,10
NRE,10/6/2021,Grubbed,0,GRB_02_B,46,7.18,20
NRE,10/6/2021,Grubbed,0,GRB_02_B,46,7.84,40
NRE,10/6/2021,Grubbed,0,GRB_03_A,43,10.81,10
NRE,10/6/2021,Grubbed,0,GRB_03_A,43,9.99,20
NRE,10/6/2021,Grubbed,0,GRB_03_A,43,7.28,40
NRE,10/6/2021,Grubbed,0,GRB_03_B,44,4.72,10
NRE,10/6/2021,Grubbed,0,GRB_03_B,44,6.27,20
NRE,10/6/2021,Grubbed,0,GRB_03_B,44,6.31,40
NRE,10/6/2021,Grubbed,0,GRB_04_A,41,6.62,10
NRE,10/6/2021,Grubbed,0,GRB_04_A,41,9.83,20
NRE,10/6/2021,Grubbed,0,GRB_04_A,41,10.89,40
NRE,10/6/2021,Grubbed,0,GRB_04_B,42,7.57,10
NRE,10/6/2021,Grubbed,0,GRB_04_B,42,11.53,20
NRE,10/6/2021,Grubbed,0,GRB_04_B,42,7.04,40
NRE,10/6/2021,Reference,25,REF_01_A,25,5.70,10
NRE,10/6/2021,Reference,25,REF_01_A,25,6.09,20
NRE,10/6/2021,Reference,25,REF_01_A,25,7.53,40
NRE,10/6/2021,Reference,25,REF_01_B,26,5.57,10
NRE,10/6/2021,Reference,25,REF_01_B,26,8.62,20
NRE,10/6/2021,Reference,25,REF_01_B,26,9.88,40
NRE,10/6/2021,Reference,25,REF_02_A,27,5.89,10
NRE,10/6/2021,Reference,25,REF_02_A,27,11.45,20
NRE,10/6/2021,Reference,25,REF_02_A,27,9.44,40
NRE,10/6/2021,Reference,25,REF_02_B,28,2.33,10
NRE,10/6/2021,Reference,25,REF_02_B,28,4.00,20
NRE,10/6/2021,Reference,25,REF_02_B,28,12.12,40
NRE,10/6/2021,Reference,25,REF_03_A,29,6.29,10
NRE,10/6/2021,Reference,25,REF_03_A,29,7.45,20
NRE,10/6/2021,Reference,25,REF_03_A,29,8.27,40
NRE,10/6/2021,Reference,25,REF_03_B,30,6.04,10
NRE,10/6/2021,Reference,25,REF_03_B,30,7.50,20
NRE,10/6/2021,Reference,25,REF_03_B,30,6.82,40
NRE,10/6/2021,Reference,25,REF_04_A,31,5.21,10
NRE,10/6/2021,Reference,25,REF_04_A,31,8.20,20
NRE,10/6/2021,Reference,25,REF_04_A,31,7.57,40
NRE,10/6/2021,Reference,25,REF_04_B,32,4.92,10
NRE,10/6/2021,Reference,25,REF_04_B,32,8.08,20
NRE,10/6/2021,Reference,25,REF_04_B,32,6.47,40
